Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.520V
Average			  :,V=48.00mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.00uS

index,CH1_Voltage(mV)
0,0.00
1,40.00
2,0.00
3,40.00
4,40.00
5,40.00
6,0.00
7,40.00
8,0.00
9,40.00
10,40.00
11,40.00
12,40.00
13,40.00
14,0.00
15,0.00
16,0.00
17,40.00
18,0.00
19,40.00
20,0.00
21,40.00
22,0.00
23,40.00
24,0.00
25,0.00
26,0.00
27,40.00
28,40.00
29,40.00
30,0.00
31,40.00
32,0.00
33,40.00
34,0.00
35,0.00
36,40.00
37,40.00
38,0.00
39,40.00
40,0.00
41,0.00
42,0.00
43,40.00
44,0.00
45,40.00
46,0.00
47,40.00
48,0.00
49,40.00
50,0.00
51,40.00
52,0.00
53,40.00
54,0.00
55,40.00
56,0.00
57,40.00
58,40.00
59,40.00
60,0.00
61,40.00
62,0.00
63,40.00
64,0.00
65,0.00
66,0.00
67,40.00
68,0.00
69,40.00
70,0.00
71,40.00
72,0.00
73,0.00
74,0.00
75,40.00
76,0.00
77,40.00
78,0.00
79,40.00
80,0.00
81,0.00
82,0.00
83,40.00
84,0.00
85,40.00
86,0.00
87,40.00
88,0.00
89,40.00
90,0.00
91,40.00
92,0.00
93,40.00
94,0.00
95,40.00
96,40.00
97,40.00
98,0.00
99,40.00
100,0.00
101,40.00
102,0.00
103,40.00
104,0.00
105,0.00
106,0.00
107,40.00
108,0.00
109,40.00
110,0.00
111,40.00
112,0.00
113,0.00
114,0.00
115,40.00
116,0.00
117,40.00
118,0.00
119,0.00
120,0.00
121,40.00
122,0.00
123,40.00
124,0.00
125,40.00
126,0.00
127,40.00
128,0.00
129,0.00
130,40.00
131,40.00
132,0.00
133,0.00
134,0.00
135,40.00
136,0.00
137,40.00
138,0.00
139,0.00
140,0.00
141,40.00
142,0.00
143,40.00
144,0.00
145,40.00
146,40.00
147,40.00
148,0.00
149,40.00
150,0.00
151,40.00
152,40.00
153,0.00
154,0.00
155,40.00
156,0.00
157,40.00
158,0.00
159,40.00
160,40.00
161,40.00
162,0.00
163,40.00
164,0.00
165,40.00
166,40.00
167,0.00
168,0.00
169,40.00
170,0.00
171,40.00
172,0.00
173,40.00
174,0.00
175,40.00
176,0.00
177,40.00
178,0.00
179,40.00
180,40.00
181,0.00
182,0.00
183,40.00
184,40.00
185,40.00
186,0.00
187,40.00
188,40.00
189,0.00
190,0.00
191,40.00
192,0.00
193,40.00
194,0.00
195,40.00
196,0.00
197,0.00
198,0.00
199,40.00
200,0.00
