Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.480V
Average			  :,V=4.733mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.01uS

index,CH1_Voltage(mV)
463,-1280.00
464,-1160.00
465,-920.00
466,-40.00
467,920.00
468,1760.00
469,2200.00
470,2120.00
471,1800.00
472,1680.00
473,1520.00
474,1440.00
475,1320.00
476,1240.00
477,1120.00
478,560.00
479,-440.00
480,-1360.00
481,-2000.00
482,-2200.00
483,-1920.00
484,-1760.00
485,-1560.00
486,-1440.00
487,-1360.00
488,-1280.00
489,-1160.00
490,-920.00
491,0.00
492,920.00
493,1760.00
494,2200.00
495,2120.00
496,1800.00
497,1640.00
498,1480.00
499,1440.00
500,1360.00
501,1240.00
502,1080.00
503,560.00
504,-440.00
505,-1360.00
506,-2000.00
507,-2200.00
508,-1880.00
509,-1760.00
510,-1560.00
511,-1440.00
512,-1360.00
513,-1280.00
514,-1120.00
515,-920.00
516,-40.00
517,920.00
518,1760.00
519,2200.00
520,2120.00
521,1800.00
522,1680.00
523,1480.00
524,1440.00
525,1320.00
526,1240.00
527,1120.00
528,560.00
529,-440.00
530,-1320.00
531,-2000.00
532,-2240.00
533,-1920.00
534,-1760.00
535,-1560.00
536,-1440.00
537,-1360.00
538,-1280.00
539,-1160.00
540,-920.00
541,-40.00
542,920.00
543,1760.00
544,2200.00
545,2120.00
546,1800.00
547,1680.00
548,1520.00
549,1440.00
550,1360.00
551,1240.00
552,1080.00
553,560.00
554,-440.00
555,-1360.00
556,-2000.00
557,-2200.00
558,-1920.00
559,-1760.00
560,-1560.00
561,-1440.00
562,-1360.00
563,-1280.00
564,-1120.00
565,-920.00
566,-40.00
567,920.00
568,1760.00
569,2200.00
570,2120.00
571,1800.00
572,1640.00
573,1520.00
574,1440.00
575,1320.00
576,1240.00
577,1080.00
578,560.00
579,-440.00
580,-1360.00
581,-2000.00
582,-2200.00
583,-1840.00
584,-1760.00
585,-1560.00
586,-1440.00
587,-1360.00
588,-1240.00
589,-1160.00
590,-920.00
591,-40.00
592,920.00
593,1760.00
594,2200.00
595,2120.00
596,1840.00
597,1680.00
598,1520.00
599,1440.00
600,1120.00
601,560.00
602,-440.00
603,-1360.00
604,-2000.00
605,-2200.00
606,-1920.00
607,-1760.00
608,-1560.00
609,-1440.00
610,-1360.00
611,-1240.00
612,-1120.00
613,-920.00
614,-40.00
615,920.00
616,1760.00
617,2200.00
618,2120.00
619,1800.00
620,1680.00
621,1520.00
622,1440.00
623,1320.00
624,1240.00
625,1080.00
626,560.00
627,-440.00
628,-1360.00
629,-2000.00
630,-2200.00
631,-1920.00
632,-1760.00
633,-1560.00
634,-1440.00
635,-1360.00
636,-1240.00
637,-1160.00
638,-920.00
639,-40.00
640,920.00
641,1760.00
642,2200.00
643,2120.00
644,1800.00
645,1680.00
646,1520.00
647,1440.00
648,1360.00
649,1240.00
650,1080.00
651,560.00
652,-440.00
653,-1360.00
654,-2000.00
655,-2200.00
656,-1840.00
657,-1760.00
658,-1560.00
659,-1440.00
660,-1360.00
661,-1280.00
662,-1160.00
663,-920.00
664,0.00
665,920.00
666,1760.00
667,2200.00
668,2120.00
669,1800.00
670,1640.00
671,1480.00
672,1440.00
673,1360.00
674,1240.00
675,1080.00
676,560.00
677,-440.00
678,-1320.00
679,-2000.00
680,-2200.00
681,-1840.00
682,-1760.00
683,-1560.00
684,-1440.00
685,-1360.00
686,-1240.00
687,-1160.00
688,-920.00
689,-40.00
690,920.00
691,1760.00
692,2200.00
693,2120.00
694,1800.00
695,1680.00
696,1480.00
697,1440.00
698,1320.00
699,1240.00
700,1120.00
701,600.00
702,-440.00
703,-1360.00
704,-2000.00
705,-2240.00
706,-1920.00
707,-1760.00
708,-1560.00
709,-1440.00
710,-1360.00
711,-1280.00
712,-1160.00
713,-920.00
714,-80.00
715,920.00
716,1760.00
717,2200.00
718,2120.00
719,1840.00
720,1640.00
721,1520.00
722,1440.00
723,1360.00
724,1240.00
725,1160.00
726,560.00
727,-400.00
728,-1320.00
729,-2000.00
730,-2200.00
731,-1920.00
732,-1760.00
733,-1560.00
734,-1440.00
735,-1360.00
736,-1240.00
737,-1160.00
738,-920.00
739,0.00
740,920.00
741,1760.00
742,2200.00
743,2120.00
744,1840.00
745,1640.00
746,1480.00
747,1440.00
748,1360.00
749,1240.00
750,1120.00
751,560.00
752,-440.00
753,-1360.00
754,-2000.00
755,-2200.00
756,-1920.00
757,-1760.00
758,-1560.00
759,-1440.00
760,-1360.00
761,-1280.00
762,-1160.00
763,-920.00
764,-80.00
765,920.00
766,1760.00
767,2200.00
768,2120.00
769,1800.00
770,1640.00
771,1480.00
772,1440.00
773,1360.00
774,1240.00
775,1080.00
776,600.00
777,-400.00
778,-1360.00
779,-2000.00
780,-2200.00
781,-1920.00
782,-1760.00
783,-1560.00
784,-1440.00
785,-1360.00
786,-1240.00
787,-1160.00
788,-920.00
789,-80.00
790,920.00
791,1760.00
792,2200.00
793,2120.00
794,1800.00
795,1640.00
796,1520.00
797,1440.00
798,1320.00
799,1240.00
800,1120.00
801,560.00
802,-400.00
803,-1320.00
804,-2000.00
805,-2200.00
806,-1920.00
807,-1760.00
808,-1560.00
809,-1440.00
810,-1360.00
811,-1280.00
812,-1160.00
813,-920.00
814,-80.00
815,920.00
816,1760.00
817,2200.00
818,2120.00
819,1800.00
820,1680.00
821,1480.00
822,1440.00
823,1360.00
824,1240.00
825,1120.00
826,560.00
827,-400.00
828,-1320.00
829,-2000.00
830,-2200.00
831,-1920.00
832,-1760.00
833,-1560.00
834,-1440.00
835,-1360.00
836,-1280.00
837,-1160.00
838,-920.00
839,-40.00
840,920.00
841,1760.00
842,2200.00
843,2120.00
844,1800.00
845,1640.00
846,1520.00
847,1440.00
848,1320.00
849,1240.00
850,1120.00
851,600.00
852,-400.00
853,-1320.00
854,-2000.00
855,-2240.00
856,-1840.00
857,-1760.00
858,-1560.00
859,-1440.00
860,-1360.00
861,-1280.00
862,-1160.00
863,-920.00
864,-80.00
865,920.00
866,1760.00
867,2200.00
868,2120.00
869,1800.00
870,1640.00
871,1520.00
872,1440.00
873,1320.00
874,1240.00
875,1080.00
876,600.00
877,-400.00
878,-1320.00
879,-2000.00
880,-2200.00
881,-1920.00
882,-1760.00
883,-1560.00
884,-1440.00
885,-1360.00
886,-1280.00
887,-1160.00
888,-920.00
889,-80.00
890,920.00
891,1760.00
892,2200.00
893,2120.00
894,1800.00
895,1680.00
896,1520.00
897,1440.00
898,1360.00
899,1240.00
900,1080.00
901,600.00
902,-400.00
903,-1320.00
904,-2000.00
905,-2200.00
906,-1920.00
907,-1760.00
908,-1560.00
909,-1440.00
910,-1360.00
911,-1280.00
912,-1160.00
913,-920.00
914,-40.00
915,920.00
916,1760.00
917,2200.00
918,2120.00
919,1800.00
920,1640.00
921,1480.00
922,1440.00
923,1360.00
924,1240.00
925,1080.00
926,560.00
927,-400.00
928,-1320.00
929,-2000.00
930,-2240.00
931,-1960.00
932,-1760.00
933,-1560.00
934,-1440.00
935,-1360.00
936,-1280.00
937,-1120.00
938,-920.00
939,-80.00
940,920.00
941,1760.00
942,2200.00
943,2120.00
944,1800.00
945,1680.00
946,1480.00
947,1440.00
948,1360.00
949,1240.00
950,1080.00
951,560.00
952,-400.00
953,-1320.00
954,-2000.00
955,-2200.00
956,-1960.00
957,-1800.00
958,-1560.00
959,-1440.00
960,-1360.00
961,-1280.00
962,-1160.00
963,-920.00
964,-80.00
965,920.00
966,1760.00
967,2200.00
968,2120.00
969,1800.00
970,1680.00
971,1520.00
972,1440.00
973,1320.00
974,1240.00
975,1120.00
976,600.00
977,-400.00
978,-1360.00
979,-2000.00
980,-2240.00
981,-1920.00
982,-1760.00
983,-1560.00
984,-1440.00
985,-1360.00
986,-1280.00
987,-1160.00
988,-920.00
989,-80.00
990,920.00
991,1760.00
992,2200.00
993,2120.00
994,1800.00
995,1640.00
996,1520.00
997,1440.00
998,1360.00
999,1240.00
1000,1080.00
1001,560.00
1002,-440.00
1003,-1360.00
1004,-2000.00
1005,-2200.00
1006,-1920.00
1007,-1760.00
1008,-1560.00
1009,-1440.00
1010,-1360.00
1011,-1280.00
1012,-1160.00
1013,-920.00
1014,-80.00
1015,880.00
1016,1760.00
1017,2200.00
1018,2120.00
1019,1800.00
1020,1640.00
1021,1520.00
1022,1440.00
1023,1320.00
1024,1240.00
1025,1080.00
1026,560.00
1027,-440.00
1028,-1360.00
1029,-2000.00
1030,-2200.00
1031,-1920.00
1032,-1760.00
1033,-1560.00
1034,-1440.00
1035,-1360.00
1036,-1280.00
1037,-1160.00
1038,-920.00
1039,-40.00
1040,920.00
1041,1760.00
1042,2200.00
1043,2120.00
1044,1440.00
1045,560.00
1046,-560.00
1047,-1440.00
1048,-2040.00
1049,-2080.00
1050,-1600.00
1051,-840.00
1052,360.00
1053,1280.00
1054,1960.00
1055,2120.00
1056,1760.00
1057,1080.00
1058,-40.00
1059,-1000.00
1060,-1800.00
1061,-2160.00
1062,-1880.00
1063,-1280.00
1064,-200.00
1065,800.00
1066,1680.00
1067,2120.00
1068,2040.00
1069,1480.00
1070,520.00
1071,-560.00
1072,-1440.00
1073,-2040.00
1074,-2120.00
1075,-1600.00
1076,-840.00
1077,360.00
1078,1320.00
1079,1960.00
1080,2200.00
1081,1760.00
1082,1080.00
1083,-40.00
1084,-1000.00
1085,-1800.00
1086,-2160.00
1087,-1920.00
1088,-1280.00
1089,-160.00
1090,840.00
1091,1680.00
1092,2120.00
1093,2080.00
1094,1480.00
1095,480.00
1096,-560.00
1097,-1440.00
1098,-2080.00
1099,-2120.00
1100,-1600.00
1101,-840.00
1102,360.00
1103,1320.00
1104,1920.00
1105,2200.00
1106,1760.00
1107,1040.00
1108,-80.00
1109,-1000.00
1110,-1800.00
1111,-2160.00
1112,-1840.00
1113,-1280.00
1114,-200.00
1115,880.00
1116,1680.00
1117,2160.00
1118,2080.00
1119,1440.00
1120,560.00
1121,-600.00
1122,-1440.00
1123,-2040.00
1124,-2120.00
1125,-1600.00
1126,-840.00
1127,320.00
1128,1320.00
1129,1960.00
1130,2200.00
1131,1760.00
1132,1040.00
1133,-40.00
1134,-1000.00
1135,-1800.00
1136,-2160.00
1137,-1880.00
1138,-1280.00
1139,-160.00
1140,880.00
1141,1640.00
1142,2120.00
1143,2040.00
1144,1480.00
1145,520.00
1146,-560.00
1147,-1440.00
1148,-2040.00
1149,-2080.00
1150,-1600.00
1151,-840.00
1152,320.00
1153,1320.00
1154,1960.00
1155,2120.00
1156,1760.00
1157,1080.00
1158,-40.00
1159,-1000.00
1160,-1800.00
1161,-2160.00
1162,-1920.00
1163,-1280.00
1164,-200.00
1165,840.00
1166,1680.00
1167,2120.00
1168,2080.00
1169,1480.00
1170,560.00
1171,-560.00
1172,-1440.00
1173,-2040.00
1174,-2080.00
1175,-1600.00
1176,-840.00
1177,320.00
1178,1320.00
1179,1960.00
1180,2120.00
1181,1760.00
1182,1080.00
1183,-80.00
1184,-1000.00
1185,-1800.00
1186,-2160.00
1187,-1920.00
1188,-1280.00
1189,-240.00
1190,880.00
1191,1640.00
1192,2120.00
1193,2040.00
1194,1480.00
1195,480.00
1196,-600.00
1197,-1440.00
1198,-2040.00
1199,-2080.00
1200,320.00
1201,1320.00
1202,1960.00
1203,2120.00
1204,1760.00
1205,1040.00
1206,-80.00
1207,-1040.00
1208,-1800.00
1209,-2160.00
1210,-1920.00
1211,-1280.00
1212,-200.00
1213,840.00
1214,1640.00
1215,2120.00
1216,2040.00
1217,1440.00
1218,520.00
1219,-600.00
1220,-1440.00
1221,-2040.00
1222,-2120.00
1223,-1600.00
1224,-840.00
1225,320.00
1226,1320.00
1227,1960.00
1228,2200.00
1229,1760.00
1230,1080.00
1231,-80.00
1232,-1040.00
1233,-1800.00
1234,-2160.00
1235,-1920.00
1236,-1280.00
1237,-200.00
1238,880.00
1239,1640.00
1240,2120.00
1241,2040.00
1242,1440.00
1243,480.00
1244,-600.00
1245,-1440.00
1246,-2040.00
1247,-2080.00
1248,-1600.00
1249,-840.00
1250,320.00
1251,1320.00
1252,1960.00
1253,2120.00
1254,1760.00
1255,1080.00
1256,-80.00
1257,-1040.00
1258,-1800.00
1259,-2160.00
1260,-1920.00
1261,-1280.00
1262,-200.00
1263,800.00
1264,1640.00
1265,2120.00
1266,2080.00
1267,1440.00
1268,520.00
1269,-560.00
1270,-1440.00
1271,-2080.00
1272,-2080.00
1273,-1600.00
1274,-840.00
1275,320.00
1276,1320.00
1277,1960.00
1278,2160.00
1279,1760.00
1280,1040.00
1281,-80.00
1282,-1000.00
1283,-1800.00
1284,-2160.00
1285,-1920.00
1286,-1280.00
1287,-200.00
1288,880.00
1289,1640.00
1290,2120.00
1291,2040.00
1292,1440.00
1293,560.00
1294,-560.00
1295,-1440.00
1296,-2040.00
1297,-2120.00
1298,-1600.00
1299,-840.00
1300,320.00
1301,1320.00
1302,1960.00
1303,2200.00
1304,1760.00
1305,1040.00
1306,-80.00
1307,-1040.00
1308,-1800.00
1309,-2160.00
1310,-1920.00
1311,-1280.00
1312,-200.00
1313,880.00
1314,1640.00
1315,2120.00
1316,2040.00
1317,1440.00
1318,520.00
1319,-600.00
1320,-1440.00
1321,-2040.00
1322,-2160.00
1323,-1600.00
1324,-840.00
1325,320.00
1326,1320.00
1327,1960.00
1328,2160.00
1329,1760.00
1330,1040.00
1331,-80.00
1332,-1040.00
1333,-1800.00
1334,-2160.00
1335,-1960.00
1336,-1280.00
1337,-200.00
1338,880.00
1339,1640.00
1340,2120.00
1341,2040.00
1342,1480.00
1343,520.00
1344,-600.00
1345,-1440.00
1346,-2080.00
1347,-2160.00
1348,-1600.00
1349,-840.00
1350,320.00
1351,1320.00
1352,1960.00
1353,2160.00
1354,1760.00
1355,1040.00
1356,-80.00
1357,-1040.00
1358,-1800.00
1359,-2160.00
1360,-1920.00
1361,-1280.00
1362,-240.00
1363,840.00
1364,1640.00
1365,2120.00
1366,2040.00
1367,1480.00
1368,480.00
1369,-560.00
1370,-1440.00
1371,-2040.00
1372,-2120.00
1373,-1600.00
1374,-880.00
1375,360.00
1376,1320.00
1377,1960.00
1378,2200.00
1379,1760.00
1380,1080.00
1381,-80.00
1382,-1040.00
1383,-1800.00
1384,-2160.00
1385,-1920.00
1386,-1280.00
1387,-200.00
1388,800.00
1389,1680.00
1390,2120.00
1391,2080.00
1392,1480.00
1393,480.00
1394,-560.00
1395,-1440.00
1396,-2080.00
1397,-2120.00
1398,-1600.00
1399,-880.00
1400,320.00
1401,1320.00
1402,1920.00
1403,2200.00
1404,1760.00
1405,1080.00
1406,-80.00
1407,-1000.00
1408,-1800.00
1409,-2160.00
1410,-1880.00
1411,-1280.00
1412,-240.00
1413,880.00
1414,1640.00
1415,2120.00
1416,2040.00
1417,1480.00
1418,520.00
1419,-600.00
1420,-1440.00
1421,-2040.00
1422,-2120.00
1423,-1600.00
1424,-840.00
1425,320.00
1426,1320.00
1427,1960.00
1428,2160.00
1429,1760.00
1430,1040.00
1431,-80.00
1432,-1040.00
1433,-1800.00
1434,-2160.00
1435,-1920.00
1436,-1280.00
1437,-240.00
1438,880.00
1439,1680.00
1440,2120.00
1441,2040.00
1442,1480.00
1443,480.00
1444,-600.00
1445,-1440.00
1446,-2040.00
1447,-2160.00
1448,-1600.00
1449,-840.00
1450,320.00
1451,1320.00
1452,1960.00
1453,2200.00
1454,1760.00
1455,1080.00
1456,-40.00
1457,-1000.00
1458,-1800.00
1459,-2160.00
1460,-1920.00
1461,-1280.00
1462,-200.00
1463,840.00
1464,1680.00
1465,2160.00
1466,2040.00
1467,1480.00
1468,520.00
1469,-560.00
1470,-1440.00
1471,-2040.00
1472,-2160.00
1473,-1600.00
1474,-840.00
1475,360.00
1476,1320.00
1477,1960.00
1478,2200.00
1479,1760.00
1480,1040.00
1481,-80.00
1482,-1000.00
1483,-1800.00
1484,-2160.00
1485,-1920.00
1486,-1280.00
1487,-200.00
1488,880.00
1489,1640.00
1490,2120.00
1491,2040.00
1492,1440.00
1493,480.00
1494,-600.00
1495,-1440.00
1496,-2040.00
1497,-2080.00
1498,-1600.00
1499,-840.00
1500,320.00
1501,1320.00
1502,1960.00
1503,2120.00
1504,1760.00
1505,1040.00
1506,-80.00
1507,-1040.00
1508,-1800.00
1509,-2160.00
1510,-1840.00
1511,-1280.00
1512,-160.00
1513,880.00
1514,1640.00
1515,2120.00
1516,2080.00
1517,1480.00
1518,520.00
1519,-600.00
1520,-1440.00
1521,-2040.00
1522,-2120.00
1523,-1600.00
1524,-840.00
1525,320.00
1526,1320.00
1527,1960.00
1528,2200.00
1529,1760.00
1530,1080.00
1531,-80.00
1532,-1040.00
1533,-1800.00
1534,-2160.00
1535,-1920.00
1536,-1280.00
1537,-200.00
1538,880.00
1539,1640.00
1540,2120.00
1541,2040.00
1542,1440.00
1543,520.00
1544,-560.00
1545,-1440.00
1546,-2040.00
1547,-2080.00
1548,-1600.00
1549,-840.00
1550,360.00
1551,1320.00
1552,1960.00
1553,2120.00
1554,1760.00
1555,1080.00
1556,-80.00
1557,-1040.00
1558,-1800.00
1559,-2160.00
1560,-1920.00
1561,-1280.00
1562,-240.00
1563,880.00
1564,1640.00
1565,2160.00
1566,2040.00
1567,1440.00
1568,520.00
1569,-600.00
1570,-1440.00
1571,-2040.00
1572,-2120.00
1573,-1600.00
1574,-840.00
1575,320.00
1576,1320.00
1577,1960.00
1578,2160.00
1579,1760.00
1580,1040.00
1581,-80.00
1582,-1000.00
1583,-1800.00
1584,-2160.00
1585,-1920.00
1586,-1280.00
1587,-240.00
1588,840.00
1589,1640.00
1590,2120.00
1591,2080.00
1592,1480.00
1593,480.00
1594,-560.00
1595,-1440.00
1596,-2080.00
1597,-2160.00
1598,-1600.00
1599,-880.00
1600,320.00
1601,1280.00
1602,1960.00
1603,2120.00
1604,1760.00
1605,1080.00
1606,-40.00
1607,-1040.00
1608,-1800.00
1609,-2160.00
1610,-1920.00
1611,-1320.00
1612,-240.00
1613,880.00
1614,1640.00
1615,2120.00
1616,2040.00
1617,1480.00
1618,520.00
1619,-600.00
1620,-1440.00
1621,-2040.00
1622,-2120.00
1623,-1600.00
1624,-840.00
1625,320.00
1626,1320.00
1627,1960.00
1628,2200.00
1629,1760.00
1630,1080.00
1631,-80.00
1632,-1040.00
1633,-1800.00
1634,-2160.00
1635,-1960.00
1636,-1280.00
1637,-240.00
1638,800.00
1639,1680.00
1640,2120.00
1641,2080.00
1642,1480.00
1643,480.00
1644,-600.00
1645,-1440.00
1646,-2040.00
1647,-2120.00
1648,-1600.00
1649,-880.00
1650,320.00
1651,1320.00
1652,1920.00
1653,2200.00
1654,1880.00
1655,1760.00
1656,1520.00
1657,1440.00
1658,1360.00
1659,1280.00
1660,1200.00
1661,920.00
1662,40.00
1663,-920.00
1664,-1720.00
1665,-2160.00
1666,-2120.00
1667,-1480.00
1668,-520.00
1669,600.00
1670,1440.00
1671,2080.00
1672,2120.00
1673,1640.00
1674,800.00
1675,-320.00
1676,-1280.00
1677,-1920.00
1678,-2200.00
1679,-1880.00
1680,-1720.00
1681,-1560.00
1682,-1440.00
1683,-1360.00
1684,-1280.00
1685,-1160.00
1686,-920.00
1687,-80.00
1688,920.00
1689,1760.00
1690,2200.00
1691,2080.00
1692,1800.00
1693,1640.00
1694,1520.00
1695,1440.00
1696,1320.00
1697,1240.00
1698,1080.00
1699,560.00
1700,-440.00
1701,-1360.00
1702,-2000.00
1703,-2200.00
1704,-1920.00
1705,-1760.00
1706,-1560.00
1707,-1440.00
1708,-1360.00
1709,-1280.00
1710,-1160.00
1711,-920.00
1712,-80.00
1713,920.00
1714,1760.00
1715,2200.00
1716,2120.00
1717,1480.00
1718,560.00
1719,-560.00
1720,-1440.00
1721,-2040.00
1722,-2120.00
1723,-1600.00
1724,-880.00
1725,320.00
1726,1280.00
1727,1960.00
1728,2200.00
1729,1760.00
1730,1080.00
1731,-40.00
1732,-1000.00
1733,-1800.00
1734,-2160.00
1735,-1920.00
1736,-1280.00
1737,-240.00
1738,880.00
1739,1640.00
1740,2160.00
1741,2080.00
1742,1840.00
1743,1600.00
1744,1480.00
1745,1400.00
1746,1320.00
1747,1280.00
1748,1120.00
1749,560.00
1750,-440.00
1751,-1320.00
1752,-2000.00
1753,-2240.00
1754,-1960.00
1755,-1760.00
1756,-1560.00
1757,-1440.00
1758,-1360.00
1759,-1280.00
1760,-1160.00
1761,-920.00
1762,-80.00
1763,880.00
1764,1760.00
1765,2200.00
1766,2120.00
1767,1800.00
1768,1640.00
1769,1520.00
1770,1440.00
1771,1320.00
1772,1240.00
1773,1080.00
1774,560.00
1775,-440.00
1776,-1320.00
1777,-2000.00
1778,-2240.00
1779,-1840.00
1780,-1800.00
1781,-1560.00
1782,-1440.00
1783,-1360.00
1784,-1280.00
1785,-1160.00
1786,-960.00
1787,-80.00
1788,880.00
1789,1760.00
1790,2200.00
1791,2080.00
1792,1800.00
1793,1600.00
1794,1480.00
1795,1440.00
1796,1320.00
1797,1200.00
1798,1080.00
1799,560.00
1800,-2000.00
1801,-2240.00
1802,-1960.00
1803,-1800.00
1804,-1560.00
1805,-1440.00
1806,-1360.00
1807,-1280.00
1808,-1160.00
1809,-960.00
1810,-80.00
1811,880.00
1812,1760.00
1813,2200.00
1814,2080.00
